Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,District_Mapped,distance_to_beach,distance_to_center,distance_to_airport,Prices_normalized,prices_capped,log_prices,Area_capped,log_Area,floors_capped,width_capped,log_width,length_capped,log_length
3.55,75.0,Không,1,1,5.0,15.0,2,16.0209382,108.2085527, Nguyễn Nho Túy,Khuê Trung,cẩm lệ,2,6.408548915209292,4.2982891399878405,4.0637579306465055,0.008121019108280255,3.55,1.2669476034873244,75.0,4.31748811353631,2,5.0,1.6094379124341003,15.0,2.70805020110221
14.0,90.0,Không,1,1,7.0,15.0,2,16.0138538,108.1958513, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,2,7.905836607919737,5.343723328342092,4.853666284353989,0.041401273885350316,14.0,2.6390573296152584,90.0,4.499809670330265,2,7.0,1.9459101490553132,15.0,2.70805020110221
24.0,50.0,Không,1,1,15.0,17.0,2,16.0086953,108.2188325, Võ Chí Công,Hòa Xuân,cẩm lệ,2,6.936356435136482,5.692597833674528,5.641274190414564,0.0732484076433121,24.0,3.1780538303479458,50.0,3.912023005428146,2,15.0,2.70805020110221,17.0,2.833213344056216
3.85,126.0,Không,1,1,6.0,21.0,2,16.0112356,108.2002191, Bình Thái 4,Hòa Thọ Đông,cẩm lệ,2,7.804217058592689,5.496878681377828,5.095032287792605,0.009076433121019108,3.85,1.3480731482996928,126.0,4.836281906951478,2,6.0,1.791759469228055,21.0,3.044522437723423
2.85,100.0,Không,1,1,5.0,20.0,2,15.9794185,108.2192149, Liêm Lạc 15,Hòa Xuân,cẩm lệ,2,9.932408855337153,8.916987728385154,8.789450540140587,0.00589171974522293,2.85,1.0473189942805592,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
4.3,90.0,Không,1,1,5.0,18.0,3,16.0190372,108.2057322, Trương Quang Giao,Khuê Trung,cẩm lệ,2,6.765379771239815,4.540180098492836,4.237713596545324,0.010509554140127388,4.3,1.4586150226995167,90.0,4.499809670330265,3,5.0,1.6094379124341003,18.0,2.8903717578961645
3.3,100.0,Không,1,1,5.0,20.0,2,15.9992464,108.2116823, Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,2,8.215806830890585,6.685949227526858,6.487185031815344,0.007324840764331209,3.3,1.1939224684724346,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
11.0,140.0,Không,1,1,5.9,25.0,1,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2,5.562607019073472,3.976662923297844,3.9759391368219577,0.03184713375796178,11.0,2.3978952727983707,140.0,4.941642422609304,1,5.9,1.7749523509116738,25.0,3.2188758248682006
4.2,145.0,Không,1,1,6.0,24.0,3,16.0117393,108.1982179, Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,2,7.903302811120536,5.494613663834648,5.055019746732804,0.010191082802547772,4.2,1.4350845252893227,145.0,4.976733742420574,3,6.0,1.791759469228055,24.0,3.1780538303479458
4.3,135.0,Không,1,1,5.4,25.0,2,16.0154633,108.2036738, Bình Thái 3,Hòa Thọ Đông,cẩm lệ,2,7.208361744855669,4.965169458553947,4.621729814299202,0.010509554140127388,4.3,1.4586150226995167,135.0,4.90527477843843,2,5.4,1.6863989535702288,25.0,3.2188758248682006
4.9,125.0,Không,1,1,5.0,25.0,2,16.0240456,108.2103341, Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,2,6.023948747153598,3.944180730095847,3.761377119367541,0.012420382165605096,4.9,1.589235205116581,125.0,4.8283137373023015,2,5.0,1.6094379124341003,25.0,3.2188758248682006
20.0,310.0,Không,1,1,11.2,26.0,3,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2,5.562607019073472,3.976662923297844,3.9759391368219577,0.06050955414012739,20.0,2.995732273553991,276.2692297258002,5.736572297479192,3,11.2,2.4159137783010487,26.0,3.258096538021482
5.4,90.0,Không,1,1,5.0,18.0,2,16.0277607,108.2121296, Trần Kim Bảng,Khuê Trung,cẩm lệ,2,5.5899031392691,3.5309748773522127,3.413365163948269,0.014012738853503185,5.4,1.6863989535702288,90.0,4.499809670330265,2,5.0,1.6094379124341003,18.0,2.8903717578961645
3.9,120.0,Không,1,1,5.0,24.0,2,16.0212756,108.2004817, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,2,6.975815789478457,4.412896672312063,3.984146342579829,0.009235668789808917,3.9,1.3609765531356006,120.0,4.787491742782046,2,5.0,1.6094379124341003,24.0,3.1780538303479458
4.1,100.0,Không,1,1,5.0,20.0,2,16.0203761,108.204959, Trần Huy Liệu,Khuê Trung,cẩm lệ,2,6.710885434355904,4.406181976639599,4.084206801768412,0.009872611464968152,4.1,1.410986973710262,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
3.75,100.0,Không,1,1,5.0,20.0,3,15.9992464,108.2116823, Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,2,8.215806830890585,6.685949227526858,6.487185031815344,0.00875796178343949,3.75,1.3217558399823195,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
2.85,100.0,Không,1,1,5.0,20.0,2,15.9826151,108.2196458, Liêm Lạc 21,Hòa Xuân,cẩm lệ,2,9.58169391243945,8.56926792618709,8.453068542238507,0.00589171974522293,2.85,1.0473189942805592,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
2.85,60.0,Không,1,1,4.0,15.0,1,16.0249026,108.2137169, Bình Hòa 2,Khuê Trung,cẩm lệ,2,5.717296127067109,3.8532678442169193,3.766419272085646,0.00589171974522293,2.85,1.0473189942805592,60.0,4.0943445622221,1,4.0,1.3862943611198906,15.0,2.70805020110221
2.8,90.0,Không,0,1,5.0,18.0,2,16.0151267,108.2044735, Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,2,7.181439370379863,4.987992051813158,4.661734955715325,0.005732484076433121,2.8,1.0296194171811581,90.0,4.499809670330265,2,5.0,1.6094379124341003,18.0,2.8903717578961645
3.15,110.0,Không,0,1,9.0,12.0,1,16.0138538,108.1958513, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,2,7.905836607919737,5.343723328342092,4.853666284353989,0.006847133757961783,3.15,1.1474024528375417,110.0,4.700480365792417,1,9.0,2.1972245773362196,12.0,2.4849066497880004
6.7,110.0,Không,1,1,5.0,22.0,3,16.0063777,108.2078822, Phạm Hùng,Hòa Xuân,cẩm lệ,2,7.742359078689389,5.910516326332974,5.653504684737835,0.018152866242038216,6.7,1.9021075263969205,110.0,4.700480365792417,3,5.0,1.6094379124341003,22.0,3.091042453358316
2.25,78.0,Không,0,1,6.0,13.0,2,16.0154645,108.1976131, Phạm Viết Chánh,Hòa Thọ Đông,cẩm lệ,2,7.64656835515986,5.116476229020093,4.651864122132446,0.003980891719745223,2.25,0.8109302162163288,78.0,4.356708826689592,2,6.0,1.791759469228055,13.0,2.5649493574615367
2.2,76.0,Không,0,1,4.6,16.0,2,16.0151267,108.2044735, Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,2,7.181439370379863,4.987992051813158,4.661734955715325,0.0038216560509554145,2.2,0.7884573603642703,76.0,4.330733340286331,2,4.6,1.5260563034950492,16.0,2.772588722239781
2.1,84.0,Không,0,1,4.0,21.0,2,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2,5.562607019073472,3.976662923297844,3.9759391368219577,0.0035031847133757963,2.1,0.7419373447293773,84.0,4.430816798843313,2,4.0,1.3862943611198906,21.0,3.044522437723423
2.25,100.0,Không,0,1,5.0,20.0,1,16.0205599,108.2060848, Bùi Xương Trạch,Khuê Trung,cẩm lệ,2,6.614557995152835,4.368088406493078,4.072956692338711,0.003980891719745223,2.25,0.8109302162163288,100.0,4.605170185988092,1,5.0,1.6094379124341003,20.0,2.995732273553991
1.5,66.0,Không,0,1,4.0,16.5,1,16.0137464,108.2044932, Bình Thái 1,Hòa Thọ Đông,cẩm lệ,2,7.297900694485221,5.138657187986884,4.814435111087388,0.0015923566878980893,1.5,0.4054651081081644,66.0,4.189654742026425,1,4.0,1.3862943611198906,16.5,2.803360380906535
2.25,80.0,Không,0,1,6.0,13.5,2,16.0172805,108.201628, Triệu Quốc Đạt,Hòa Thọ Đông,cẩm lệ,2,7.204491664628993,4.811174414109968,4.420774678185881,0.003980891719745223,2.25,0.8109302162163288,80.0,4.382026634673881,2,6.0,1.791759469228055,13.5,2.6026896854443837
2.05,56.0,Không,0,1,7.0,8.0,2,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2,5.562607019073472,3.976662923297844,3.9759391368219577,0.0033439490445859865,2.05,0.7178397931503168,56.0,4.02535169073515,2,7.0,1.9459101490553132,8.0,2.0794415416798357
15.0,6.0,Không,1,0,5.5,12.0,5,16.0604012,108.2170183, Hoàng Diệu,Nam Dương,hải châu,4,3.304327533355402,0.5810390622936686,1.5756969397271998,0.044585987261146494,15.0,2.70805020110221,6.0,1.791759469228055,5,5.5,1.7047480922384253,12.0,2.4849066497880004
7.2,78.0,Không,1,0,5.5,14.5,3,16.0347762,108.217907, Lê Thị Hồng Gấm,Hòa Cường Nam,hải châu,4,4.600617116849255,2.8346870991995337,2.971038187331273,0.019745222929936305,7.2,1.9740810260220096,78.0,4.356708826689592,3,5.5,1.7047480922384253,14.5,2.6741486494265287
